Sample,Organism-name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size,GC.,Replicons,WGS,Scaffolds,Genes,Proteins,Release.Date,Cas_genes,Level,GenBank.FTP,crispr,spacers,cas,IE,IF,IC,other/FP,type_other,Cas_genes,acrIE,acrIF,Acr_genes_hom,nb_hits_hom,nb_other_hom,gbaLC,gbaMC_IE,gbaMC_IF,gbaMC_IC,gbaHC_IE,gbaHC_IF,gbaHC_IC,phage
GCF_000506225.1_JD325.contigs,Pseudomonas aeruginosa JD325,JD325,SAMN02360647 ,PRJNA198782,Proteobacteria,Gammaproteobacteria,GCA_000506225.1 ,6.25834,66.6,-,AWYY01,2141,-,-,2013/12/11,2013/12/27,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/225/GCA_000506225.1_JD325.contigs,0,0,3,0,3,0,6,['IIIU'],"[['cas6_TypeIF (451,1014,+)'], ['csy2_TypeIF (613,1596,-)'], ['cas3_TypeI (46,1716,-)'], ['cas3-cas2_TypeIF (1048,4278,-)'], ['cas3_TypeI (138,1478,+)'], ['csx3_TypeIIIU (4731,5609,+)'], ['cas3_TypeI (3305,7651,+)'], ['cas3_TypeI (4302,5678,+)'], ['cas3_TypeI (5907,7256,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000506265.1_JD329.contigs,Pseudomonas aeruginosa JD329,JD329,SAMN02360650 ,PRJNA198782,Proteobacteria,Gammaproteobacteria,GCA_000506265.1 ,6.41012,66.4,-,AWZB01,2090,-,-,2013/12/11,2013/12/27,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/265/GCA_000506265.1_JD329.contigs,0,0,0,0,0,0,5,['IIIU'],"[['csx3_TypeIIIU (215,1093,+)'], ['cas3_TypeI (1654,3324,+)'], ['cas3_TypeI (4302,5678,+)'], ['cas3_TypeI (3347,7693,+)'], ['cas3_TypeI (4650,5999,+)']]",1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000506285.1_JD334.contigs,Pseudomonas aeruginosa JD334,JD334,SAMN02360654 ,PRJNA198782,Proteobacteria,Gammaproteobacteria,GCA_000506285.1 ,6.71325,66.2,-,AWZF01,2128,-,-,2013/12/11,2013/12/27,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/285/GCA_000506285.1_JD334.contigs,0,0,0,0,0,0,7,['IIIU'],"[['cas3_TypeI (41,1711,-)'], ['cas3a_TypeI (1669,3588,-)'], ['csx3_TypeIIIU (3689,4567,+)'], ['cas3_TypeI (1182,2522,+)'], ['cas3_TypeI (5907,7082,-)'], ['cas3_TypeI (23,4114,+)'], ['cas3_TypeI (7503,8879,-)']]",1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000506345.1_JD333.contigs,Pseudomonas aeruginosa JD333,JD333,SAMN02360653 ,PRJNA198782,Proteobacteria,Gammaproteobacteria,GCA_000506345.1 ,6.33112,66.5,-,AWZE01,1996,6633,5917,2013/12/11,2019/11/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/345/GCA_000506345.1_JD333.contigs,0,0,1,0,1,0,4,['IIIU'],"[['csx3_TypeIIIU (304,1182,-)'], ['cas1_TypeIF (7428,8402,-)', 'cas3-cas2_TypeIF (4201,7431,-)', 'csy1_TypeIF (2839,4143,-)', 'csy3_TypeIF (830,1858,-)', 'csy2_TypeIF (1869,2852,-)', 'cas6_TypeIF (263,826,-)'], ['cas3_TypeI (3344,7693,+)'], ['cas3_TypeI (4302,5678,+)'], ['cas3_TypeI (16868,20320,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000506365.1_JD335.contigs,Pseudomonas aeruginosa JD335,JD335,SAMN02360655 ,PRJNA198782,Proteobacteria,Gammaproteobacteria,GCA_000506365.1 ,6.37385,66.4,-,AWZG01,1820,6745,6081,2013/12/11,2019/10/17,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/365/GCA_000506365.1_JD335.contigs,0,0,0,0,0,0,7,['IIIU'],"[['cas3_TypeI (1654,3324,+)'], ['csx3_TypeIIIU (304,1182,-)'], ['cas3_TypeI (5919,7268,-)'], ['cas3_TypeI (5147,6523,-)'], ['cas3_TypeI (948,5294,+)'], ['cas3_TypeI (3410,4750,-)'], ['cas3_TypeI (8895,12347,-)']]",1,2,"['AcrIF5', 'AcrIF3', 'AcrIE4']",3,2,0,0,0,0,0,0,0,[]
GCF_000506805.1_P_aeruginosa_VRFPA07,Pseudomonas aeruginosa VRFPA07,VRFPA07,SAMN02472099 ,PRJNA230365,Proteobacteria,Gammaproteobacteria,GCA_000506805.1 ,7.17722,65.9,-,AZBO01,140,7153,6632,2013/12/11,2019/10/29,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/805/GCA_000506805.1_P_aeruginosa_VRFPA07,0,0,0,0,0,0,6,['IIIU'],"[['csx3_TypeIIIU (27792,28670,+)'], ['cas3_TypeI (66814,68523,-)'], ['cas3_TypeI (23909,25258,-)'], ['cas3a_TypeI (3957,5783,-)'], ['cas3a_TypeI (633,2552,-)'], ['cas3_TypeI (37,1377,-)']]",1,1,['AcrIE4-IF7'],1,1,0,0,0,0,0,0,0,[]
GCF_000506885.1_P_aeruginosa_VRFPA08,Pseudomonas aeruginosa VRFPA08,VRFPA08,SAMN02472103 ,PRJNA230869,Proteobacteria,Gammaproteobacteria,GCA_000506885.1 ,7.03533,66.1,-,AZHU01,197,7024,6517,2013/12/11,2019/10/17,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/506/885/GCA_000506885.1_P_aeruginosa_VRFPA08,0,0,0,0,0,0,6,['IIIU'],"[['cas3a_TypeI (570,2546,+)'], ['csx3_TypeIIIU (27753,28631,+)'], ['cas3_TypeI (10646,11995,+)'], ['cas3_TypeI (39241,40581,+)'], ['cas3_TypeI (61392,65738,+)'], ['cas3_TypeI (63808,65478,+)']]",1,1,"['AcrIE3', 'AcrIF4']",2,2,0,0,0,0,0,0,0,[]
GCF_000508765.1_ASM50876v1,Pseudomonas aeruginosa LES431,LES431,SAMN02641592 ,PRJNA222518,Proteobacteria,Gammaproteobacteria,GCA_000508765.1 ,6.55007,66.3,chromosome:NC_023066.1/CP006937.1,-,1,6102,5953,2013/12/17,2019/11/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/765/GCA_000508765.1_ASM50876v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000510305.1_ASM51030v1,Pseudomonas aeruginosa SCV20265,SCV20265,SAMN02415141 ,PRJNA229445,Proteobacteria,Gammaproteobacteria,GCA_000510305.1 ,6.72518,66.3,chromosome:NC_023149.1/CP006931.1,-,1,6451,6277,2013/12/18,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/305/GCA_000510305.1_ASM51030v1,3,36,1,0,1,0,0,[],"[['csy1_TypeIF (3036933,3038237,-)', 'cas1_TypeIF (3041522,3042496,-)', 'csy2_TypeIF (3035963,3036946,-)', 'cas6_TypeIF (3034357,3034920,-)', 'cas3-cas2_TypeIF (3038295,3041525,-)', 'csy3_TypeIF (3034924,3035952,-)']]",2,2,"['AcrIE1', 'AcrIE4-IF7', 'AcrIF12']",3,1,0,0,2,0,0,0,0,"['vB_PaeP_Tr60_Ab31_NC_023575-gi|YP_009007133.1||3.62e-47', 'vB_PaeP_Tr60_Ab31_NC_023575-gi|YP_009007134.1||1.50e-44']"
GCF_000513235.1_MH27,Pseudomonas aeruginosa MH27,MH27,SAMEA3138835 ,PRJEB1668,Proteobacteria,Gammaproteobacteria,GCA_000513235.1 ,7.15569,65.9,-,CBTR01,31,6722,6504,2013/11/25,2019/11/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/235/GCA_000513235.1_MH27,0,0,0,0,0,0,0,[],[],1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000520175.1_Pseu_aeru_PS50_V1,Pseudomonas aeruginosa PS50,PS50,SAMN02360754 ,PRJNA219944,Proteobacteria,Gammaproteobacteria,GCA_000520175.1 ,6.90445,65.9,-,AZZC01,4,6551,6361,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/175/GCA_000520175.1_Pseu_aeru_PS50_V1,0,0,0,0,0,0,0,[],[],1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000520215.1_Pseu_aeru_Z61_V1,Pseudomonas aeruginosa Z61,Z61,SAMN02360713 ,PRJNA219902,Proteobacteria,Gammaproteobacteria,GCA_000520215.1 ,6.56465,66,-,AZZE01,5,6166,5968,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/215/GCA_000520215.1_Pseu_aeru_Z61_V1,2,24,1,0,1,0,0,[],"[['cas3-cas2_TypeIF (2099962,2103192,+)', 'cas1_TypeIF (2098991,2099965,+)', 'csy3_TypeIF (2105535,2106563,+)', 'cas6_TypeIF (2106567,2107130,+)', 'csy2_TypeIF (2104541,2105524,+)', 'csy1_TypeIF (2103250,2104554,+)']]",0,0,[],0,0,5,0,0,0,0,0,0,[]
GCF_000520235.1_Pseu_aeru_BWHPSA048_V1,Pseudomonas aeruginosa BWHPSA048,BWHPSA048,SAMN02360712 ,PRJNA219901,Proteobacteria,Gammaproteobacteria,GCA_000520235.1 ,5.951,66.4,-,AZZF01,2,5647,5507,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/235/GCA_000520235.1_Pseu_aeru_BWHPSA048_V1,3,33,1,0,1,0,0,[],"[['cas1_TypeIF (2798031,2799005,-)', 'csy2_TypeIF (2792122,2793105,-)', 'csy3_TypeIF (2791083,2792111,-)', 'cas3-cas2_TypeIF (2794804,2798034,-)', 'cas6_TypeIF (2790516,2791079,-)', 'csy1_TypeIF (2793092,2794393,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520255.1_Pseu_aeru_BWHPSA047_V1,Pseudomonas aeruginosa BWHPSA047,BWHPSA047,SAMN02360711 ,PRJNA219900,Proteobacteria,Gammaproteobacteria,GCA_000520255.1 ,6.38776,66.3,-,AZZG01,3,6080,5917,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/255/GCA_000520255.1_Pseu_aeru_BWHPSA047_V1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520275.1_Pseu_aeru_BWHPSA046_V1,Pseudomonas aeruginosa BWHPSA046,BWHPSA046,SAMN02360710 ,PRJNA219899,Proteobacteria,Gammaproteobacteria,GCA_000520275.1 ,6.90206,66.1,-,AZZH01,10,6626,6439,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/275/GCA_000520275.1_Pseu_aeru_BWHPSA046_V1,0,0,0,0,0,0,0,[],[],1,0,['AcrIE2'],1,0,0,0,0,0,0,0,0,[]
GCF_000520295.1_Pseu_aeru_BWHPSA045_V1,Pseudomonas aeruginosa BWHPSA045,BWHPSA045,SAMN02360709 ,PRJNA219898,Proteobacteria,Gammaproteobacteria,GCA_000520295.1 ,7.07909,65.7,-,AZZI01,5,6856,6664,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/295/GCA_000520295.1_Pseu_aeru_BWHPSA045_V1,2,16,1,1,0,0,0,[],"[['cse1_TypeIE (2119835,2121403,-)', 'cas3_TypeI (2121406,2124078,-)', 'cse2_TypeIE (2119308,2119838,-)', 'cas7_TypeIE (2118156,2119298,-)', 'cas1_TypeIE (2115989,2116861,-)', 'cas5_TypeIE (2117492,2118154,-)', 'cas2_TypeIE (2115693,2115992,-)', 'cas6_TypeIE (2116906,2117517,-)']]",1,2,"['AcrIE1', 'AcrIF3', 'AcrIF12']",3,4,0,0,0,0,2,0,0,"['JBD93_NC_030918-gi|YP_009274622.1||9.23e-50', 'JBD93_NC_030918-gi|YP_009274621.1||1.26e-101', 'FHA0480_NC_041851-gi|YP_009591717.1||2.49e-111']"
GCF_000520315.1_Pseu_aeru_BWHPSA044_V1,Pseudomonas aeruginosa BWHPSA044,BWHPSA044,SAMN02360708 ,PRJNA219897,Proteobacteria,Gammaproteobacteria,GCA_000520315.1 ,6.90167,66,-,AZZJ01,4,6607,6426,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/315/GCA_000520315.1_Pseu_aeru_BWHPSA044_V1,2,34,1,0,1,0,0,[],"[['cas1_TypeIF (2541499,2542473,-)', 'cas3-cas2_TypeIF (2538272,2541502,-)', 'csy2_TypeIF (2535940,2536923,-)', 'csy3_TypeIF (2534901,2535929,-)', 'csy1_TypeIF (2536910,2538214,-)', 'cas6_TypeIF (2534334,2534897,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520335.1_Pseu_aeru_BWHPSA043_V1,Pseudomonas aeruginosa BWHPSA043,BWHPSA043,SAMN02360707 ,PRJNA219896,Proteobacteria,Gammaproteobacteria,GCA_000520335.1 ,6.87981,66,-,AZZK01,27,6605,6353,2014/01/14,2019/10/18,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/335/GCA_000520335.1_Pseu_aeru_BWHPSA043_V1,1,4,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520355.1_Pseu_aeru_BWHPSA042_V1,Pseudomonas aeruginosa BWHPSA042,BWHPSA042,SAMN02360706 ,PRJNA219895,Proteobacteria,Gammaproteobacteria,GCA_000520355.1 ,5.89339,66.5,-,AZZL01,3,5604,5423,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/355/GCA_000520355.1_Pseu_aeru_BWHPSA042_V1,3,39,1,1,0,0,0,[],"[['cas5_TypeIE (3051212,3051874,-)', 'cas2_TypeIE (3049413,3049712,-)', 'cas1_TypeIE (3049709,3050581,-)', 'cse1_TypeIE (3053555,3055123,-)', 'cas6_TypeIE (3050626,3051237,-)', 'cas3_TypeI (3055126,3057798,-)', 'cse2_TypeIE (3053028,3053558,-)', 'cas7_TypeIE (3051876,3053018,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520375.1_Pseu_aeru_BWHPSA041_V1,Pseudomonas aeruginosa BWHPSA041,BWHPSA041,SAMN02360705 ,PRJNA219894,Proteobacteria,Gammaproteobacteria,GCA_000520375.1 ,6.89766,65.8,-,AZZM01,12,6651,6468,2014/01/14,2019/10/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/375/GCA_000520375.1_Pseu_aeru_BWHPSA041_V1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520395.1_Pseu_aeru_BWHPSA040_V1,Pseudomonas aeruginosa BWHPSA040,BWHPSA040,SAMN02360704 ,PRJNA219893,Proteobacteria,Gammaproteobacteria,GCA_000520395.1 ,6.45299,66.3,-,AZZN01,3,6033,5888,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/395/GCA_000520395.1_Pseu_aeru_BWHPSA040_V1,3,59,1,0,1,0,0,[],"[['cas3-cas2_TypeIF (2800785,2804015,-)', 'cas6_TypeIF (2796497,2797060,-)', 'csy3_TypeIF (2797064,2798092,-)', 'csy2_TypeIF (2798103,2799086,-)', 'csy1_TypeIF (2799073,2800374,-)', 'cas1_TypeIF (2804012,2804986,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520415.1_Pseu_aeru_BWHPSA039_V1,Pseudomonas aeruginosa BWHPSA039,BWHPSA039,SAMN02360703 ,PRJNA219892,Proteobacteria,Gammaproteobacteria,GCA_000520415.1 ,6.98304,65.9,-,AZZO01,10,6622,6411,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/415/GCA_000520415.1_Pseu_aeru_BWHPSA039_V1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000520435.1_Pseu_aeru_BWHPSA038_V1,Pseudomonas aeruginosa BWHPSA038,BWHPSA038,SAMN02360702 ,PRJNA219891,Proteobacteria,Gammaproteobacteria,GCA_000520435.1 ,6.64619,66.2,-,AZZP01,12,6311,6114,2014/01/14,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/435/GCA_000520435.1_Pseu_aeru_BWHPSA038_V1,2,26,1,0,1,0,0,[],"[['cas3-cas2_TypeIF (2612174,2615404,-)', 'csy3_TypeIF (2608803,2609831,-)', 'cas1_TypeIF (2615401,2616375,-)', 'csy1_TypeIF (2610812,2612116,-)', 'cas6_TypeIF (2608236,2608799,-)', 'csy2_TypeIF (2609842,2610825,-)']]",1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,1,0,0,0,0,[]
GCF_000520455.1_Pseu_aeru_BWHPSA037_V1,Pseudomonas aeruginosa BWHPSA037,BWHPSA037,SAMN02360701 ,PRJNA219890,Proteobacteria,Gammaproteobacteria,GCA_000520455.1 ,7.21858,65.5,-,AZZQ01,29,6802,6588,2014/01/14,2019/11/09,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/455/GCA_000520455.1_Pseu_aeru_BWHPSA037_V1,2,21,0,0,0,0,1,['IIIU'],"[['csx3_TypeIIIU (5061,5939,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000524595.1_ASM52459v1,Pseudomonas aeruginosa YL84,YL84,SAMN02641599 ,PRJNA234476,Proteobacteria,Gammaproteobacteria,GCA_000524595.1 ,6.43344,66.4,chromosome:NZ_CP007147.1/CP007147.1,-,1,6101,5924,2014/01/30,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/595/GCA_000524595.1_ASM52459v1,3,23,1,0,1,0,0,[],"[['csy3_TypeIF (4424766,4425794,+)', 'csy1_TypeIF (4422484,4423785,+)', 'cas1_TypeIF (4417872,4418846,+)', 'cas6_TypeIF (4425798,4426361,+)', 'csy2_TypeIF (4423772,4424755,+)', 'cas3-cas2_TypeIF (4418843,4422073,+)']]",0,1,['AcrIF12'],1,1,2,0,0,0,0,0,0,[]
GCF_000567865.1_MDRPA06,Pseudomonas aeruginosa VRFPA06,VRFPA06,SAMN02472100 ,PRJNA227489,Proteobacteria,Gammaproteobacteria,GCA_000567865.1 ,6.97503,65.8,-,AYSK01,277,6998,6295,2013/12/11,2019/04/02,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/567/865/GCA_000567865.1_MDRPA06,0,0,0,0,0,0,5,['IIIU'],"[['cas3_TypeI (4797,6173,-)'], ['csx3_TypeIIIU (6360,7238,-)'], ['cas3a_TypeI (51149,52975,-)'], ['cas3_TypeI (45426,46775,-)'], ['cas3_TypeI (12956,14296,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000568115.1_De_Novo_Assembly,Pseudomonas aeruginosa RB-48,RB-48,SAMN02487176 ,PRJNA232736,Proteobacteria,Gammaproteobacteria,GCA_000568115.1 ,6.17506,66.5,-,AZYL01,183,5799,5655,2014/02/10,2019/11/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/115/GCA_000568115.1_De_Novo_Assembly,0,0,0,0,0,0,3,['IIIU'],"[['cas3_TypeI (10555,12126,-)'], ['csx3_TypeIIIU (50114,50992,+)'], ['cas3_TypeI (3416,4756,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000568215.1_ASM56821v1,Pseudomonas aeruginosa SG17M,SG17M,SAMN02951884 ,PRJNA233421,Proteobacteria,Gammaproteobacteria,GCA_000568215.1 ,6.87678,66.1,-,JALF01,17,6521,6321,2014/02/10,2019/10/17,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/215/GCA_000568215.1_ASM56821v1,3,37,1,0,1,0,0,[],"[['cas3-cas2_TypeIF (2404889,2408119,+)', 'csy2_TypeIF (2409794,2410777,+)', 'csy3_TypeIF (2410788,2411816,+)', 'csy1_TypeIF (2408530,2409807,+)', 'cas1_TypeIF (2403918,2404892,+)', 'cas6_TypeIF (2411820,2412383,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000568235.2_CF_PA39_1.0,Pseudomonas aeruginosa CF_PA39,CF_PA39,SAMN02602860 ,PRJNA236781,Proteobacteria,Gammaproteobacteria,GCA_000568235.2 ,6.18727,66.4,-,JDVE01,97,5730,5523,2014/02/11,2019/11/16,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/235/GCA_000568235.2_CF_PA39_1.0,3,58,1,0,1,0,3,['IIIU'],"[['cas3_TypeI (83734,85404,-)'], ['cas3-cas2_TypeIF (44585,47815,-)', 'csy1_TypeIF (43223,44527,-)', 'cas1_TypeIF (47812,48786,-)', 'csy2_TypeIF (42253,43236,-)', 'csy3_TypeIF (41214,42242,-)', 'cas6_TypeIF (40647,41210,-)'], ['cas3_TypeI (18537,21989,+)'], ['csx3_TypeIIIU (17928,18806,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000568855.2_ASM56885v2,Pseudomonas aeruginosa PAK,PAK,SAMN02483603 ,PRJNA232360,Proteobacteria,Gammaproteobacteria,GCA_000568855.2 ,6.28332,66.3,chromosome:NZ_CP020659.1/CP020659.1,-,1,6023,5515,2017/04/13,2019/08/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/855/GCA_000568855.2_ASM56885v2,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000572265.1_PA01_BK1,Pseudomonas aeruginosa BK1,BK1,SAMN02596116 ,PRJNA236406,Proteobacteria,Gammaproteobacteria,GCA_000572265.1 ,6.45116,66.3,-,JBTQ01,163,-,-,2014/02/18,2014/04/10,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/265/GCA_000572265.1_PA01_BK1,3,16,1,0,1,0,7,['IIIU'],"[['cas3_TypeI (6991,8367,+)'], ['cas3a_TypeI (29161,31080,+)'], ['csx3_TypeIIIU (27441,28319,-)'], ['cas3-cas2_TypeIF (4424,6766,-)', 'csy1_TypeIF (3062,4366,-)', 'csy3_TypeIF (1055,2083,-)', 'cas6_TypeIF (488,1051,-)', 'cas1_TypeIF (7650,8624,-)'], ['cas3_TypeI (59014,62094,-)'], ['cas3_TypeI (3439,4779,-)'], ['cas3_TypeI (8923,10593,+)'], ['cas3_TypeI (10273,11844,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000583895.1_ASM58389v1,Pseudomonas aeruginosa LESlike5,LESlike5,SAMN03081515 ,PRJNA222522,Proteobacteria,Gammaproteobacteria,GCA_000583895.1 ,6.54335,66.4,chromosome:NZ_CP006980.1/CP006980.1,-,1,6100,5946,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/895/GCA_000583895.1_ASM58389v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000583915.1_ASM58391v1,Pseudomonas aeruginosa LESlike7,LESlike7,SAMN03081516 ,PRJNA222523,Proteobacteria,Gammaproteobacteria,GCA_000583915.1 ,6.46791,66.5,chromosome:NZ_CP006981.1/CP006981.1,-,1,6005,5858,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/915/GCA_000583915.1_ASM58391v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000583935.1_ASM58393v1,Pseudomonas aeruginosa LES400,LES400,SAMN03081517 ,PRJNA222517,Proteobacteria,Gammaproteobacteria,GCA_000583935.1 ,6.59112,66.3,chromosome:NZ_CP006982.1/CP006982.1,-,1,6165,5989,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/935/GCA_000583935.1_ASM58393v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000583955.1_ASM58395v1,Pseudomonas aeruginosa LESB65,LESB65,SAMN03081518 ,PRJNA222519,Proteobacteria,Gammaproteobacteria,GCA_000583955.1 ,6.527,66.4,chromosome:NZ_CP006983.1/CP006983.1,-,1,6092,5941,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/955/GCA_000583955.1_ASM58395v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000583975.1_ASM58397v1,Pseudomonas aeruginosa LESlike1,LESlike1,SAMN03081519 ,PRJNA222520,Proteobacteria,Gammaproteobacteria,GCA_000583975.1 ,6.50907,66.4,chromosome:NZ_CP006984.1/CP006984.1,-,1,6073,5914,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/975/GCA_000583975.1_ASM58397v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000583995.1_ASM58399v1,Pseudomonas aeruginosa LESlike4,LESlike4,SAMN03081520 ,PRJNA222521,Proteobacteria,Gammaproteobacteria,GCA_000583995.1 ,6.52405,66.4,chromosome:NZ_CP006985.1/CP006985.1,-,1,6085,5942,2014/03/03,2019/11/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/995/GCA_000583995.1_ASM58399v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000590905.1_De_novo_Assembly,Pseudomonas aeruginosa MW3a,MW3a,SAMN02952973 ,PRJNA235238,Proteobacteria,Gammaproteobacteria,GCA_000590905.1 ,6.6653,66.3,-,JAQK01,240,6465,6212,2014/03/13,2019/10/17,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/905/GCA_000590905.1_De_novo_Assembly,1,17,0,0,0,0,7,[],"[['cas3_TypeI (63472,64812,-)'], ['cas3_TypeI (28980,30551,-)'], ['cas3a_TypeI (1496,3415,+)'], ['cas4_TypeI-II (2031,5441,+)'], ['cas3_TypeI (31833,33182,+)'], ['cas3_TypeI (18437,21889,+)'], ['cas3_TypeI (4910,9256,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
